"rt","stimulus","key_press","stim","task","comp","colour","side","font","corrResp","trial_type","trial_index","time_elapsed","internal_node_id","corrCode","blockNum","trialNum"
"516","<h1 style=""color:black""> <i>8</i> </h1>","67","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","561","347182","0.0-7.0-220.0","1","3","186"
"668","<h1 style=""color:black""> <i>1</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","564","348857","0.0-7.0-223.0","1","3","187"
"607","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","567","350474","0.0-7.0-226.0","1","3","188"
"475","<h1 style=""color:black""> <i>8</i> </h1>","67","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","570","351960","0.0-7.0-229.0","1","3","189"
"540","<h1 style=""color:black"">2</h1>","77","simonSnarc","snarc","incomp","black","middle","normal","M","single-stim","573","353506","0.0-7.0-232.0","1","3","190"
"1002","<h1 style=""color:green; position: relative; left: -100px"">X</h1>","77","simonSnarc","simon","incomp","green","left","normal","M","single-stim","576","355517","0.0-7.0-235.0","1","3","191"
"438","<h1 style=""color:green; position:relative; left: 100px"">X</h1>","77","simonSnarc","simon","comp","green","right","normal","M","single-stim","579","356964","0.0-7.0-238.0","1","3","192"
"663","<h1 style=""color:black""> <i>2</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","582","358636","0.0-7.0-241.0","1","3","193"
"568","<h1 style=""color:red; position: relative; left: 100px"">X</h1>","67","simonSnarc","simon","incomp","red","right","normal","C","single-stim","585","360211","0.0-7.0-244.0","1","3","194"
"498","<h1 style=""color:black""> <i>2</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","588","361717","0.0-7.0-247.0","1","3","195"
"572","<h1 style=""color:black"">1</h1>","77","simonSnarc","snarc","incomp","black","middle","normal","M","single-stim","591","363299","0.0-7.0-250.0","1","3","196"
"584","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","594","364894","0.0-7.0-253.0","1","3","197"
"499","<h1 style=""color:green; position: relative; left: -100px"">X</h1>","77","simonSnarc","simon","incomp","green","left","normal","M","single-stim","597","366401","0.0-7.0-256.0","1","3","198"
"586","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","600","367999","0.0-7.0-259.0","1","3","199"
"1038","<h1 style=""color:black""> <i>9</i> </h1>","67","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","603","370045","0.0-7.0-262.0","1","3","200"
"960","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","606","372013","0.0-7.0-265.0","1","3","201"
"473","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","609","373493","0.0-7.0-268.0","1","3","202"
"646","<h1 style=""color:black""> <i>1</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","612","375148","0.0-7.0-271.0","1","3","203"
"646","<h1 style=""color:black""> <i>2</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","615","376816","0.0-7.0-274.0","1","3","204"
"498","<h1 style=""color:black""> <i>2</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","618","378329","0.0-7.0-277.0","1","3","205"
"569","<h1 style=""color:red; position: relative; left: 100px"">X</h1>","77","simonSnarc","simon","incomp","red","right","normal","C","single-stim","621","379909","0.0-7.0-280.0","2","3","206"
"588","<h1 style=""color:black"">1</h1>","77","simonSnarc","snarc","incomp","black","middle","normal","M","single-stim","624","381509","0.0-7.0-283.0","1","3","207"
"644","<h1 style=""color:black""> <i>9</i> </h1>","67","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","627","383166","0.0-7.0-286.0","1","3","208"
